"Category";"locus_tag"
"Oxidative phosphorylation";"b3734"
"Oxidative phosphorylation";"b3735"
"Oxidative phosphorylation";"b3736"
"Oxidative phosphorylation";"b3737"
"Oxidative phosphorylation";"b3738"
"Oxidative phosphorylation";"b4151"
"Oxidative phosphorylation";"b4152"
"Oxidative phosphorylation";"b4153"
"Oxidative phosphorylation";"b4154"
"Oxidative phosphorylation";"b4226"
"Oxidative phosphorylation";"b4515"
"Oxidative phosphorylation";"b4592"
"Arginine biosynthesis";"b0273"
"Arginine biosynthesis";"b0323"
"Arginine biosynthesis";"b0485"
"Arginine biosynthesis";"b0521"
"Arginine biosynthesis";"b0928"
"Arginine biosynthesis";"b1524"
"Arginine biosynthesis";"b1761"
"Arginine biosynthesis";"b2290"
"Arginine biosynthesis";"b2818"
"Arginine biosynthesis";"b2874"
"Arginine biosynthesis";"b3172"
"Arginine biosynthesis";"b3359"
"Arginine biosynthesis";"b3870"
"Arginine biosynthesis";"b3957"
"Arginine biosynthesis";"b3958"
"Arginine biosynthesis";"b3959"
"Arginine biosynthesis";"b3960"
"Arginine biosynthesis";"b4254"
"Purine metabolism";"b0049"
"Purine metabolism";"b0104"
"Purine metabolism";"b0125"
"Purine metabolism";"b0160"
"Purine metabolism";"b0238"
"Purine metabolism";"b0284"
"Purine metabolism";"b0285"
"Purine metabolism";"b0286"
"Purine metabolism";"b0323"
"Purine metabolism";"b0391"
"Purine metabolism";"b0469"
"Purine metabolism";"b0474"
"Purine metabolism";"b0477"
"Purine metabolism";"b0480"
"Purine metabolism";"b0505"
"Purine metabolism";"b0512"
"Purine metabolism";"b0515"
"Purine metabolism";"b0516"
"Purine metabolism";"b0517"
"Purine metabolism";"b0521"
"Purine metabolism";"b0522"
"Purine metabolism";"b0523"
"Purine metabolism";"b0675"
"Purine metabolism";"b0688"
"Purine metabolism";"b1131"
"Purine metabolism";"b1207"
"Purine metabolism";"b1623"
"Purine metabolism";"b1849"
"Purine metabolism";"b1970"
"Purine metabolism";"b1982"
"Purine metabolism";"b2234"
"Purine metabolism";"b2235"
"Purine metabolism";"b2291"
"Purine metabolism";"b2312"
"Purine metabolism";"b2361"
"Purine metabolism";"b2407"
"Purine metabolism";"b2476"
"Purine metabolism";"b2499"
"Purine metabolism";"b2500"
"Purine metabolism";"b2502"
"Purine metabolism";"b2507"
"Purine metabolism";"b2508"
"Purine metabolism";"b2518"
"Purine metabolism";"b2557"
"Purine metabolism";"b2593"
"Purine metabolism";"b2675"
"Purine metabolism";"b2676"
"Purine metabolism";"b2744"
"Purine metabolism";"b2750"
"Purine metabolism";"b2751"
"Purine metabolism";"b2752"
"Purine metabolism";"b2781"
"Purine metabolism";"b2784"
"Purine metabolism";"b2795"
"Purine metabolism";"b2866"
"Purine metabolism";"b2867"
"Purine metabolism";"b2868"
"Purine metabolism";"b2874"
"Purine metabolism";"b2883"
"Purine metabolism";"b2954"
"Purine metabolism";"b3032"
"Purine metabolism";"b3034"
"Purine metabolism";"b3380"
"Purine metabolism";"b3397"
"Purine metabolism";"b3399"
"Purine metabolism";"b3648"
"Purine metabolism";"b3650"
"Purine metabolism";"b3665"
"Purine metabolism";"b3779"
